2026-05-15 23:24:28.577 [info] Starting Excalidraw MCP server...
2026-06-11 09:04:27.863 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.863 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.864 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.864 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.865 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.865 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.866 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.867 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.867 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.868 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.869 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.870 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.870 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.871 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.872 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.872 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.872 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.873 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.874 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.875 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.875 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.876 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.876 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.877 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.877 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.878 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.878 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.878 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.879 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.879 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.879 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.879 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.880 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.880 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.881 [error] Uncaught exception: EPIPE: broken pipe, write
